year,month,day,temp,pressure,humidity,wind_speed,wind_direction,clouds,generation_biomass,generation_fossil_brown_coal_lignite,generation_fossil_coal_derived_gas,generation_fossil_gas,generation_fossil_hard_coal,generation_fossil_oil,generation_fossil_oil_shale,generation_fossil_peat,generation_geothermal,generation_hydro_pumped_storage_consumption,generation_hydro_run_of_river_and_poundage,generation_hydro_water_reservoir,generation_marine,generation_nuclear,generation_other,generation_other_renewable,generation_solar,generation_waste,generation_wind_offshore,generation_wind_onshore,total_generation,forecast_solar_day_ahead,forecast_wind_onshore_day_ahead,total_load_forecast,total_load_actual,price_day_ahead,price_actual
2015,1,1,272.1848221,988.3333333,62.54166667,0.875,236.5416667,0,0.016543231,0.009938164,0,0.164341649,0.163947533,0.006185212,0,0,0,0.041325904,0.040455631,0.083657206,0,0.273996049,0.001631159,0.002855332,0.044145846,0.00780511,0,0.143171976,621644,25200,87725,592887,573522,46.70249971,62.14874983
2015,1,2,261.299647,950.25,61.20833333,0.958333333,211.9166667,5.125,0.012150115,0,0,0.111918169,0.038858746,0.006259108,0,0,0,0.048931614,0.040747152,0.116708973,0,0.223644761,0.001391673,0.001930827,0.041050939,0.005852691,0,0.350555232,730775,28491,257496,634143,626961,16.11416662,66.65958389
2015,1,3,262.5189095,940.5416667,63.5,0.958333333,140.4583333,0,0.014668996,0,0,0.114605344,0.044271477,0.007545218,0,0,0,0.045952874,0.045880212,0.133039682,0,0.237158452,0.002608564,0.00221183,0.038959888,0.006821504,0,0.306275958,688118,26617,210158,586539,577092,24.31499974,62.92249997
2015,1,4,263.2408511,932.5,64.04166667,0.916666667,98.54166667,0,0.013380355,0,0,0.116073847,0.075129082,0.012014505,0,0,0,0.019199492,0.0503359,0.110967646,0,0.238505558,0.002822464,0.001933857,0.08339738,0.005359462,0,0.270880454,683091,54610,185227,626880,625449,28.84624982,55.96333361
2015,1,5,255.605598,915.6470588,66,0.941176471,110,1.411764706,0.014207173,0.000256518,0,0.179853933,0.100222234,0.012653264,0,0,0,0.047103192,0.045956259,0.10142343,0,0.154924783,0.001576108,0.002903098,0.043830116,0.005964053,0,0.28912584,405429,17404,117630,355590,359819,38.66882347,71.1941176
2015,1,6,260.9642703,924.625,74.625,0.791666667,228.25,31.66666667,0.019751294,0.033950035,0,0.165695676,0.244903897,0.012131522,0,0,0,0.008399976,0.030199304,0.116074426,0,0.178260466,0.003162381,0.002428543,0.085836752,0.008596625,0,0.090609102,625478,54084,57083,628525,643553,53.57083337,65.87708314
2015,1,7,261.2937546,945.6666667,68.41666667,0.958333333,192.3333333,0.333333333,0.015218376,0.028458257,0,0.166518502,0.243548833,0.011344268,0,0,0,0.004362049,0.022316899,0.063827882,0,0.184010812,0.002662949,0.001630922,0.072170985,0.006696139,0,0.177233127,748043,53216,132964,749561,740002,56.98583285,75.97416703
2015,1,8,261.3669497,936.4166667,66.04166667,0.958333333,143.7916667,3.666666667,0.01823718,0.019232214,0,0.157121853,0.242069241,0.011061896,0,0,0,0.014269309,0.023449993,0.055231288,0,0.237725742,0.002968237,0.002374896,0.084016748,0.008280707,0,0.123960695,652239,53961,81735,626914,604712,51.42833376,75.73833402
2015,1,9,263.4480057,950.7083333,68.33333333,0.791666667,63.58333333,0,0.015536601,0.028117048,0,0.18533065,0.241641729,0.01124094,0,0,0,0.005486799,0.0196545,0.065327906,0,0.220804488,0.002688812,0.002217115,0.054618849,0.007995051,0,0.139339513,714442,37037,99518,696455,704779,55.44833295,73.77750015
2015,1,10,262.8983231,940.75,70.29166667,0.916666667,208.9583333,0,0.019807578,0.030607103,0,0.191764153,0.255428954,0.014637511,0,0,0,0.005849166,0.016952902,0.090174261,0,0.212077215,0.003062093,0.002516663,0.066705385,0.008789882,0,0.081627134,650862,41499,53004,644230,646879,55.01916663,65.69750023
